YMR282C,AEP2,ATPase ExPression,,
YPL005W,AEP3,ATPase ExPression,,
YLR040C,AFB1,A-Factor Barrier,,
YEL052W,AFG1,ATPase Family Gene,,
YLR397C,AFG2,ATPase Family Gene,,
YER017C,AFG3,ATPase Family Gene,,
YOR129C,AFI1,ArF3-Interacting protein,,
YDR085C,AFR1,Alpha-Factor Receptor regulator,,
YGL071W,AFT1,Activator of Ferrous Transport,,
YPL202C,AFT2,Activator of Fe (iron) Transcription,,
YNR044W,AGA1,a-AGglutinin,,
YGL032C,AGA2,a-AGglutinin,,
YPR021C,AGC1,Aspartate-Glutamate Carrier,,
YDR524C,AGE1,Arf Gap with Effector function(s),,
YIL044C,AGE2,ArfGAP Effector,,
YCL025C,AGP1,high-Affinity Glutamine Permease,,
YBR132C,AGP2,high-Affinity Glutamine Permease,,
YFL055W,AGP3,high-Affinity Glutamine Permease,,
YFL030W,AGX1,Alanine:Glyoxylate aminotrans(X)ferase,,
YDR214W,AHA1,Activator of Heat shock protein 90 ATPase,,
YOR023C,AHC1,Ada Histone acetyltransferase complex Component,,
YCR082W,AHC2,Ada Histone acetyltransferase complex Component,,
YDL073W,AHK1,Associated with HKr1,,
YLR109W,AHP1,Alkyl HydroPeroxide reductase,,
YHR093W,AHT1,,,
Q0050,AI1,,,
Q0055,AI2,,,
Q0060,AI3,,,
Q0065,AI4,,,
Q0070,AI5_ALPHA,,,
Q0075,AI5_BETA,,,
YNR074C,AIF1,Apoptosis-Inducing Factor,,
YER087W,AIM10,Altered Inheritance rate of Mitochondria,,
YER093C-A,AIM11,Altered Inheritance rate of Mitochondria,,
YGL160W,AIM14,Altered Inheritance rate of Mitochondria,,
YHL021C,AIM17,Altered Inheritance rate of Mitochondria,,
YHR198C,AIM18,Altered Inheritance rate of Mitochondria,,
YIL087C,AIM19,Altered Inheritance rate of Mitochondria,,
YAL049C,AIM2,Altered Inheritance rate of Mitochondria,,
YIL158W,AIM20,Altered Inheritance rate of Mitochondria,,
YIR003W,AIM21,Altered Inheritance rate of Mitochondria,,
YJL046W,AIM22,Altered Inheritance rate of Mitochondria,,
YJL131C,AIM23,Altered Inheritance rate of Mitochondria,,
YJR080C,AIM24,Altered Inheritance rate of Mitochondria,,
YJR100C,AIM25,Altered Inheritance of Mitochondria,,
YKL037W,AIM26,Altered Inheritance rate of Mitochondria,,
YKR074W,AIM29,Altered Inheritance rate of Mitochondria,,
YBR108W,AIM3,Altered Inheritance rate of Mitochondria,,
YML050W,AIM32,Altered Inheritance rate of Mitochondria,,
YML087C,AIM33,Altered Inheritance rate of Mitochondria,,
YMR003W,AIM34,Altered Inheritance rate of Mitochondria,,
YMR157C,AIM36,Altered Inheritance rate of Mitochondria,,
YOL053W,AIM39,Altered Inheritance rate of Mitochondria,,
YBR194W,AIM4,Altered Inheritance rate of Mitochondria,,
YOR215C,AIM41,Altered Inheritance of Mitochondria,,
YPL158C,AIM44,Altered Inheritance rate of Mitochondria,,
YPR004C,AIM45,Altered Inheritance rate of Mitochondria,,
YHR199C,AIM46,Altered Inheritance rate of Mitochondria,,
YDL237W,AIM6,Altered Inheritance rate of Mitochondria,,
YDR063W,AIM7,Altered Inheritance rate of Mitochondria,,
YER080W,AIM9,Altered Inheritance rate of Mitochondria,,
YMR092C,AIP1,Actin Interacting Protein,,
YIL079C,AIR1,Arginine methyltransferase-Interacting RING finger protein,,
YDL175C,AIR2,Arginine methyltransferase-Interacting RING finger protein,,
YBR059C,AKL1,Ark family Kinase-Like protein,,
YDR264C,AKR1,AnKyrin Repeat containing,,
YOR034C,AKR2,AnKyrin Repeat-containing protein,,
YOR335C,ALA1,ALAnyl-tRNA synthetase,,
YJL122W,ALB1,Arx1 Little Brother,,
YMR170C,ALD2,ALdehyde Dehydrogenase,,
YMR169C,ALD3,ALdehyde Dehydrogenase,,
YOR374W,ALD4,ALdehyde Dehydrogenase,,
YER073W,ALD5,ALdehyde Dehydrogenase,,
YPL061W,ALD6,ALdehyde Dehydrogenase,,
YOR175C,ALE1,Acyltransferase for Lyso-phosphatidylEthanolamine,,
YNL148C,ALF1,ALpha tubulin Folding,,
YBR110W,ALG1,Asparagine-Linked Glycosylation,,
YNL048W,ALG11,Asparagine-Linked Glycosylation,,
YNR030W,ALG12,Asparagine-Linked Glycosylation,,
YGL047W,ALG13,Asparagine-Linked Glycosylation,,
YBR070C,ALG14,Asparagine Linked Glycosylation,,
YGL065C,ALG2,Asparagine-Linked Glycosylation,,
YBL082C,ALG3,Asparagine Linked Glycosylation,,
YPL227C,ALG5,Asparagine-Linked Glycosylation,,
YOR002W,ALG6,Asparagine-Linked Glycosylation,,
YBR243C,ALG7,Asparagine-Linked Glycosylation,,
YOR067C,ALG8,Asparagine-Linked Glycosylation,,
YNL219C,ALG9,Asparagine-Linked Glycosylation,,
YGL021W,ALK1,,,
YBL009W,ALK2,,,
YML086C,ALO1,"D-Arabinono-1,4-Lactone Oxidase",,
YNL270C,ALP1,,,
YOL130W,ALR1,ALuminum Resistance,,
YFL050C,ALR2,ALuminum Resistance,,
YLR089C,ALT1,ALanine Transaminase,,
YDR111C,ALT2,ALanine Transaminase,,
YKR021W,ALY1,Arrestin-Like Yeast protein,,
YJL084C,ALY2,Arrestin-Like Yeast protein,,
YGR225W,AMA1,Activator of Meiotic APC/C,,
YML035C,AMD1,AMP Deaminase,,
YDR242W,AMD2,AMiDase,,
YBR211C,AME1,Associated with Microtubules and Essential,,
YOR378W,AMF1,AMmonium Facilitator,,
YBR158W,AMN1,Antagonist of Mitotic exit Network,,
YGL156W,AMS1,Alpha-MannoSidase,,
YJR047C,ANB1,ANaeroBically induced,,
YEL036C,ANP1,ANP and osmotic sensitive,,
YKL047W,ANR2,Avl Nine Related family 2,,
YHR126C,ANS1,,,
YPR128C,ANT1,Adenine Nucleotide Transporter,,
YMR010W,ANY1,Antagonizes Neo1 Yeast phospholipid flippase,,
YPR180W,AOS1,Activation Of Smt3p,,
YCL050C,APA1,AP4A phosphorylase,,
YDR530C,APA2,AP4A phosphorylase,,
YNL172W,APC1,Anaphase Promoting Complex subunit,,
YDL008W,APC11,Anaphase Promoting Complex,,
YLR127C,APC2,Anaphase Promoting Complex,,
YDR118W,APC4,Anaphase Promoting Complex,,
YOR249C,APC5,Anaphase Promoting Complex,,
YLR102C,APC9,Anaphase Promoting Complex,,
YBR151W,APD1,Actin Patches Distal,,
YKL103C,APE1,AminoPeptidase,,
YKL157W,APE2,AminoPEptidase,,
YBR286W,APE3,AminoPEptidase,,
YHR113W,APE4,,,
YDR525W,API2,APIcal,,
YNL077W,APJ1,Anti-Prion DnaJ,,
YJR005W,APL1,clathrin Adaptor Protein complex Large chain,,
YKL135C,APL2,clathrin Adaptor Protein complex Large chain,,
YBL037W,APL3,clathrin Adaptor Protein complex Large chain,,
YPR029C,APL4,clathrin Adaptor Protein complex Large chain,,
YPL195W,APL5,clathrin Adaptor Protein complex Large chain,,
YGR261C,APL6,clathrin Adaptor Protein complex Large chain,,
YPL259C,APM1,clathrin Adaptor Protein complex Medium chain,,
YHL019C,APM2,clathrin Adaptor Protein complex Medium chain,,
YBR288C,APM3,clathrin Adaptor Protein complex Medium chain,,
YOL062C,APM4,clathrin Adaptor Protein complex Medium chain,,
YKL114C,APN1,APurinic/apyrimidinic eNdonuclease,,
YBL019W,APN2,APurinic/apyrimidinic eNdonuclease,,
YNL094W,APP1,Actin Patch Protein,,
YIL040W,APQ12,APical growth revealed by Quantitative morphological analysis,,
YJL075C,APQ13,,,
YLR170C,APS1,clathrin Associated Protein complex Small subunit,,
YJR058C,APS2,clathrin Associated Protein complex Small subunit,,
YJL024C,APS3,clathrin Associated Protein complex Small subunit,,
YML022W,APT1,Adenine PhosphoribosylTransferase,,
YDR441C,APT2,Adenine PhosphoribosylTransferase,,
YNL065W,AQR1,Acids Quinidine Resistance,,
YPR192W,AQY1,AQuaporin from Yeast,,
YLL052C,AQY2,AQuaporin from Yeast,,
YFL054C,AQY3,AQuaporin from Yeast,,
YBR149W,ARA1,D-ARAbinose dehydrogenase,,
YMR041C,ARA2,ARAbinose,,
YER036C,ARB1,ATP-binding cassette protein involved in Ribosome Biogenesis,,
YGL105W,ARC1,Aminoacyl-tRNA synthetase Cofactor,,
YIL062C,ARC15,ARp2/3 Complex subunit,,
YLR370C,ARC18,ARp2/3 Complex subunit,,
YKL013C,ARC19,ARp2/3 Complex subunit,,
YNR035C,ARC35,ARp2/3 Complex subunit,,
YBR234C,ARC40,ARp2/3 Complex subunit,,
YHR013C,ARD1,ARrest Defective,,
YCR048W,ARE1,Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme,,
YNR019W,ARE2,Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme,,
YDL192W,ARF1,ADP-Ribosylation Factor,,
YDL137W,ARF2,ADP-Ribosylation Factor,,
YOR094W,ARF3,ADP-Ribosylation Factor,,
YOL058W,ARG1,ARGinine requiring,,
YJL071W,ARG2,ARGinine requiring,,
YJL088W,ARG3,ARGinine requiring,,
YHR018C,ARG4,ARGinine requiring,,
YER069W,"ARG5,6",ARGinine requiring,,
YMR062C,ARG7,ARGinine requiring,,
YOL140W,ARG8,ARGinine requiring,,
YMR042W,ARG80,ARGinine requiring,,
YML099C,ARG81,ARGinine requiring,,
YDR173C,ARG82,ARGinine requiring,,
YDR376W,ARH1,Adrenodoxin Reductase Homolog,,
YGL157W,ARI1,"Aldehyde Reductase Intermediate, subclass of SDR",,
YNL020C,ARK1,Actin Regulating Kinase,,
YBR164C,ARL1,ADP-Ribosylation factor-Like,,
YPL051W,ARL3,ADP-Ribosylation factor-Like,,
YHL040C,ARN1,AFT1 ReguloN,,
YHL047C,ARN2,AFT1 ReguloN,,
YDR127W,ARO1,AROmatic amino acid requiring,,
YDR380W,ARO10,AROmatic amino acid requiring,,
YGL148W,ARO2,AROmatic amino acid requiring,,
YDR035W,ARO3,AROmatic amino acid requiring,,
YBR249C,ARO4,AROmatic amino acid requiring,,
YPR060C,ARO7,AROmatic amino acid requiring,,
YGL202W,ARO8,AROmatic amino acid requiring,,
YDR421W,ARO80,AROmatic amino acid requiring,,
YHR137W,ARO9,AROmatic amino acid requiring,,
YHR129C,ARP1,Actin-Related Protein,,
YDR106W,ARP10,Actin-Related Protein,,
YDL029W,ARP2,Actin-Related Protein,,
YJR065C,ARP3,Actin-Related Protein,,
YJL081C,ARP4,Actin-Related Protein,,
YNL059C,ARP5,Actin-Related Protein,,
YLR085C,ARP6,Actin-Related Protein,,
YPR034W,ARP7,Actin-Related Protein,,
YOR141C,ARP8,Actin-Related Protein,,
YMR033W,ARP9,Actin-Related Protein,,
YPR199C,ARR1,ARsenicals Resistance,,
YPR200C,ARR2,ARsenicals Resistance,,
YPR201W,ARR3,ARsenicals Resistance,,
YLR392C,ART10,Arrestin-Related Trafficking adaptors,,
YGR068C,ART5,Arrestin-Related Trafficking adaptors,,
YLR242C,ARV1,ARE2 Required for Viability,,
YDR101C,ARX1,Associated with Ribosomal eXport complex,,
YPR085C,ASA1,AStra Associated protein,,
YMR116C,ASC1,Absence of growth Suppressor of Cyp1,,
YOR058C,ASE1,Anaphase Spindle Elongation,,
YJL115W,ASF1,Anti-Silencing Function,,
YDL197C,ASF2,Anti-Silencing Function,,
YIL130W,ASG1,Activator of Stress Genes,,
YJL170C,ASG7,a-Specific Gene,,
YKL185W,ASH1,Asymmetric Synthesis of HO,,
YMR119W,ASI1,Amino acid Sensor-Independent,,
YNL159C,ASI2,Amino acid Sensor-Independent,,
YNL008C,ASI3,Amino acid Sensor-Independent,,
YKL052C,ASK1,Associated with Spindles and Kinetochores,,
YGR097W,ASK10,Activator of SKn7,,
YDL088C,ASM4,Anti-Suppressor in Multicopy,,
YPR145W,ASN1,ASparagiNe requiring,,
YGR124W,ASN2,ASparagiNe requiring,,
YDR321W,ASP1,ASParaginase,,
YLR155C,ASP3-1,ASParaginase,,
YLR157C,ASP3-2,ASParaginase,,
YLR158C,ASP3-3,ASParaginase,,
YLR160C,ASP3-4,ASParaginase,,
YPR093C,ASR1,Alcohol Sensitive Ring/PHD finger,,
YBL069W,AST1,ATPase STabilizing,,
YER101C,AST2,ATPase STabilizing,,
YDR184C,ATC1,Aip Three Complex,,
YGL017W,ATE1,Arginyl-tRNA-protein transfErase,,
YOR377W,ATF1,AcetylTransFerase,,
YGR177C,ATF2,AcetylTransFerase,,
YGL180W,ATG1,AuTophaGy related,,
YLL042C,ATG10,AuTophaGy related,,
YPR049C,ATG11,AuTophaGy related,,
YBR217W,ATG12,AuTophaGy related,,
YPR185W,ATG13,AuTophaGy related,,
YBR128C,ATG14,AuTophaGy related,,
YCR068W,ATG15,AuTophaGy related,,
YMR159C,ATG16,AuTophaGy related,,
YLR423C,ATG17,AuTophaGy related,,
YFR021W,ATG18,AuTophaGy related,,
YOL082W,ATG19,AuTophaGy related,,
YNL242W,ATG2,AuTophaGy related,,
YDL113C,ATG20,AuTophaGy related,,
YPL100W,ATG21,AuTophaGy related,,
YCL038C,ATG22,AuTophaGy related,,
YLR431C,ATG23,AuTophaGy related,,
YLR189C,ATG26,AuTophaGy related,,
YJL178C,ATG27,AuTophaGy related,,
YPL166W,ATG29,AuTophaGy related,,
YNR007C,ATG3,AuTophaGy related,,
YDR022C,ATG31,AuTophaGy related,,
YIL146C,ATG32,AuTophaGy related,,
YLR356W,ATG33,AuTophaGy related,,
YOL083W,ATG34,AuTophaGy related,,
YJL185C,ATG36,AuTophaGy related,,
YLR211C,ATG38,AuTophaGy related,,
YLR312C,ATG39,AuTophaGy related,,
YNL223W,ATG4,AuTophaGy related,,
YOR152C,ATG40,AuTophaGy related,,
YPL250C,ATG41,AuTophaGy related,,
YPL149W,ATG5,AuTophaGy related,,
YHR171W,ATG7,AuTophaGy related,,
YBL078C,ATG8,AuTophaGy related,,
YDL149W,ATG9,AuTophaGy related,,
YPR026W,ATH1,Acid TreHalase,,
YMR301C,ATM1,"ABC Transporter, Mitochondrial",,
YNR002C,ATO2,Ammonia (Ammonium) Transport Outward,,
YDR384C,ATO3,Ammonia (Ammonium) Transport Outward,,
YBL099W,ATP1,ATP synthase,,
YLR393W,ATP10,ATP synthase,,
YNL315C,ATP11,ATP synthase,,
YJL180C,ATP12,ATP synthase,,
YLR295C,ATP14,ATP synthase,,
YPL271W,ATP15,ATP synthase,,
YDL004W,ATP16,ATP synthase,,
YDR377W,ATP17,ATP synthase,,
YML081C-A,ATP18,ATP synthase,,
YOL077W-A,ATP19,ATP synthase,,
YJR121W,ATP2,ATP synthase,,
YPR020W,ATP20,ATP synthase,,
YDR350C,ATP22,ATPase synthase,,
YNR020C,ATP23,,,
YMR098C,ATP25,ATPase,,
YBR039W,ATP3,ATP synthase,,
YPL078C,ATP4,ATP synthase,,
YDR298C,ATP5,ATP synthase,,
Q0085,ATP6,ATP synthase,,
YKL016C,ATP7,ATP synthase,,
Q0080,ATP8,ATP synthase,,
YML116W,ATR1,AminoTriazole Resistance,,
YAL020C,ATS1,Alpha Tubulin Suppressor,,
YNL259C,ATX1,AnTioXidant,,
YOR079C,ATX2,AnTioXidant,,
YFL010W-A,AUA1,Amino acid Uptake Activation,,
YKL004W,AUR1,AUreobasidin A Resistance,,
YOR011W,AUS1,ABC protein involved in Uptake of Sterols,,
YLR114C,AVL9,Apl2 Vps1 Lethal,,
YOL078W,AVO1,Adheres VOraciously (to TOR2),,
YMR068W,AVO2,Adheres VOraciously (to TOR2),,
YJR001W,AVT1,Amino acid Vacuolar Transport,,
YEL064C,AVT2,Amino acid Vacuolar Transport,,
YKL146W,AVT3,Amino acid Vacuolar Transport,,
YNL101W,AVT4,Amino acid Vacuolar Transport,,
YBL089W,AVT5,Amino acid Vacuolar Transport,,
YER119C,AVT6,Amino acid Vacuolar Transport,,
YIL088C,AVT7,Amino acid Vacuolar Transport,,
YPR122W,AXL1,AXiaL budding,,
YIL140W,AXL2,AXiaL 2 bud site selection,,
YIL124W,AYR1,1-AcyldihYdroxyacetone-phosphate Reductase,,
YLL063C,AYT1,AcetYlTransferase,,
YOR113W,AZF1,Asparagine-rich Zinc-Finger,,
YGR224W,AZR1,Acetic Acid and AZoles Resistance,,
YOR134W,BAG7,,,
YBR068C,BAP2,Branched-chain Amino acid Permease,,
YDR046C,BAP3,Branched-chain Amino acid Permease,,
YIL015W,BAR1,BARrier to the alpha factor response,,
YKR099W,BAS1,BASal,,
YHR208W,BAT1,Branched-chain Amino acid Transaminase,,
YJR148W,BAT2,Branched-chain Amino acid Transaminase,,
YJL020C,BBC1,Bni1 synthetic lethal and Bee1 (las17) Complex member,,
YPL255W,BBP1,Bfr1 Binding Protein,,
YHR040W,BCD1,Box C/D snoRNA accumulation,,
YMR237W,BCH1,Bud7 and Chs6 Homolog,,
YKR027W,BCH2,Bud7 and Chs6 Homolog,,
YJL095W,BCK1,Bypass of C Kinase,,
YER167W,BCK2,Bypass of C Kinase,,
YDR361C,BCP1,,,
YDR375C,BCS1,ubiquinol-cytochrome c reductase (bc1) Synthesis,,
YIL033C,BCY1,Bypass of CYclic-AMP requirement,,
YLR399C,BDF1,BromoDomain Factor,,
YDL070W,BDF2,BromoDomain Factor,,
YAL060W,BDH1,Butanediol DeHydrogenase,,
YAL061W,BDH2,,,
YNL039W,BDP1,B Double Prime,,
YOL164W,BDS1,Bacterially Derived Sulfatase,,
YBR200W,BEM1,Bud EMergence,,
YER155C,BEM2,Bud EMergence,,
YPL115C,BEM3,Bud EMergence,,
YPL161C,BEM4,Bud EMergence,,
YLR412W,BER1,Benomyl REsistant 1,,
YIL004C,BET1,Blocked Early in Transport,,
YPR176C,BET2,Blocked Early in Transport,,
YKR068C,BET3,Blocked Early in Transport,,
YJL031C,BET4,Blocked Early in Transport,,
YML077W,BET5,Blocked Early in Transport,,
YJR053W,BFA1,Byr-Four-Alike,,
YOR198C,BFR1,BreFeldin A Resistance,,
YDR299W,BFR2,BreFeldin A Resistance,,
YGR282C,BGL2,Beta-GLucanase,,
Q0110,BI2,,,
Q0115,BI3,,,
Q0120,BI4,,,
YHR101C,BIG1,Bad In Glucose,,
YCL029C,BIK1,BIlateral Karyogamy defect,,
YOR304C-A,BIL1,Bud6-Interacting Ligand,,
YER016W,BIM1,BInding to Microtubules,,
YGR286C,BIO2,BIOtin,,
YNR058W,BIO3,BIOtin,,
YNR057C,BIO4,BIOtin,,
YNR056C,BIO5,BIOtin,,
YJR089W,BIR1,Baculoviral IAP Repeat-containing protein,,
YBR270C,BIT2,Binding partner of Tor2p,,
YJL058C,BIT61,Binding partner of Tor2p,,
YKL061W,BLI1,BLoc-1 Interactor,,
YFL007W,BLM10,BLeoMycin resistance,,
YLR408C,BLS1,BLoS1-homolog,,
YER177W,BMH1,Brain Modulosignalin Homolog,,
YDR099W,BMH2,Brain Modulosignalin Homolog,,
YPL217C,BMS1,BMh Sensitive,,
YBR141C,BMT2,Base MethylTransferase of 25S RNA,,
YIL096C,BMT5,Base Methyltransferase of Twenty five S rRNA 5,,
YLR063W,BMT6,Base Methyltransferase of Twenty five S rRNA 6,,
YJR025C,BNA1,Biosynthesis of Nicotinic Acid,,
YJR078W,BNA2,Biosynthesis of Nicotinic Acid,,
YJL060W,BNA3,Biosynthesis of Nicotinic Acid,,
YBL098W,BNA4,Biosynthesis of Nicotinic Acid,,
YLR231C,BNA5,Biosynthesis of Nicotinic Acid,,
YFR047C,BNA6,Biosynthesis of Nicotinic Acid,,
YDR428C,BNA7,Biosynthesis of NAD,,
YNL271C,BNI1,Bud Neck Involved,,
YNL233W,BNI4,Bud Neck Involved,,
YNL166C,BNI5,Bud Neck Involved,,
YIL159W,BNR1,BNi1 Related,,
YGR230W,BNS1,Bypasses Need for Spo12p,,
YBL085W,BOI1,Bem1 (One) Interacting protein,,
YER114C,BOI2,Bem1 (One) Interacting protein,,
YAL044W-A,BOL1,BolA-like protein,,
YGL220W,BOL2,BolA-like protein,,
YAL046C,BOL3,BolA-like protein,,
YLR267W,BOP2,Bypass Of Pam1,,
YNL042W,BOP3,Bypass Of Pam1,,
YNL275W,BOR1,BORon transporter,,
YLR078C,BOS1,Bet One Suppressor,,
YCR032W,BPH1,Beige Protein Homolog,,
YDL141W,BPL1,Biotin:apoProtein Ligase,,
YLL015W,BPT1,Bile Pigment Transporter,,
YDL074C,BRE1,BREfeldin A sensitivity,,
YLR015W,BRE2,BREfeldin A sensitivity,,
YDL231C,BRE4,BREfeldin A sensitivity,,
YNR051C,BRE5,BREfeldin A sensitivity,,
YGR246C,BRF1,B-Related Factor,,
YHR036W,BRL1,BRr6 Like protein,,
YBL097W,BRN1,homolog of BaRreN,,
YPL084W,BRO1,BCK1-like Resistance to Osmotic shock,,
YGL007W,BRP1,,,
YPR057W,BRR1,Bad Response to Refrigeration,,
YER172C,BRR2,Bad Response to Refrigeration,,
YGL247W,BRR6,Bad Response to Refrigeration,,
YOL077C,BRX1,Xenopus laevis Brix (Biogenesis of Ribosomes in Xenopus) homolog,,
YDL037C,BSC1,Bypass of Stop Codon,,
YDR275W,BSC2,Bypass of Stop Codon,,
YLR465C,BSC3,Bypass of Stop Codon,,
YNL269W,BSC4,Bypass of Stop Codon,,
YNR069C,BSC5,Bypass of Stop Codon,,
YOL137W,BSC6,Bypass of Stop Codon,,
YBR290W,BSD2,Bypass Sod1p Defects,,
YPR171W,BSP1,Binding protein of Synaptojanin Polyphosphoinositide phosphatase domain,,
YFL025C,BST1,Bypass of Sec Thirteen,,
YGR142W,BTN2,BaTteN disease,,
YPL069C,BTS1,Bet Two Suppressor,,
YDR252W,BTT1,BTf Three,,
YGR188C,BUB1,Budding Uninhibited by Benzimidazole,,
YMR055C,BUB2,Budding Uninhibited by Benzimidazole,,
YOR026W,BUB3,Budding Uninhibited by Benzimidazole,,
YGL174W,BUD13,BUD site selection,,
YAR014C,BUD14,BUD site selection,,
YEL029C,BUD16,BUD site selection,,
YNR027W,BUD17,BUD site selection,,
YJL188C,BUD19,BUD site selection,,
YKL092C,BUD2,BUD site selection,,
YLR074C,BUD20,BUD site selection,,
YOR078W,BUD21,BUD site selection,,
YMR014W,BUD22,BUD site selection,,
YCR047C,BUD23,BUD site selection,,
YER014C-A,BUD25,BUD site selection,,
YDR241W,BUD26,BUD site selection,,
YFL023W,BUD27,BUD site selection,,
YLR062C,BUD28,BUD site selection,,
YCL014W,BUD3,BUD site selection,,
YDL151C,BUD30,BUD site selection,,
YCR063W,BUD31,BUD site selection,,
YGR262C,BUD32,BUD site selection,,
YJR092W,BUD4,BUD site selection,,
YCR038C,BUD5,BUD site selection,,
YLR319C,BUD6,BUD site selection,,
YOR299W,BUD7,BUD site selection,,
YLR353W,BUD8,BUD site selection,,
YGR041W,BUD9,BUD site selection,,
YDL099W,BUG1,Binder of USO1 and GRH1,,
YMR275C,BUL1,Binds Ubiquitin Ligase,,
YML111W,BUL2,Binds Ubiquitin Ligase,,
YLR226W,BUR2,Bypass UAS Requirement,,
YER159C,BUR6,Bypass UAS Requirement,,
YNL305C,BXI1,BaX Inhibitor,,
YKL005C,BYE1,BYpass of ESS1,,
YHR114W,BZZ1,,,
YDR531W,CAB1,Coenzyme A Biosynthesis,,
YIL083C,CAB2,Coenzyme A Biosynthesis,,
YKL088W,CAB3,Coenzyme A Biosynthesis,,
YGR277C,CAB4,Coenzyme A Biosynthesis,,
YDR196C,CAB5,,,
YML102W,CAC2,Chromatin Assembly Complex,,
YDR423C,CAD1,CADmium resistance,,
YNL278W,CAF120,CCR4 Associated Factor,,
YGR134W,CAF130,CCR4 Associated Factor,,
YFL028C,CAF16,CCR4 Associated Factor,,
YOR276W,CAF20,Cap Associated Factor,,
YKR036C,CAF4,CCR4 Associated Factor,,
YNL288W,CAF40,CCR4 Associated Factor,,
YER048C,CAJ1,,,
YFL029C,CAK1,Cdk-Activating Kinase,,
YPL048W,CAM1,Calcium And Membrane-binding protein,,
YEL063C,CAN1,CANavanine resistance,,
YKL007W,CAP1,CAPping,,
YIL034C,CAP2,CAPping,,
YPL111W,CAR1,Catabolism of ARginine,,
YLR438W,CAR2,Catabolism of ARginine,,
